module;constant;value_expression;category;provenance;confidence;justification;source;line
Turbocharger.js;COMPRESSOR_DELIVERY_DISCHARGE_COEFFICIENT;0.82;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;162
Turbocharger.js;COMPRESSOR_STATIC_FLOW_CAPACITY;0.105;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;"Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : Capacité de débit traversant la roue. Une partie existe même arbre presque arrêté ; la contribution dynamique augmente avec la vitesse périphérique.";Calibration projet;166
Turbocharger.js;COMPRESSOR_DYNAMIC_FLOW_COEFFICIENT;0.34;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;167
Turbocharger.js;COMPRESSOR_MAX_MASS_FLOW;0.32;Garde numérique / domaine;Borne du modèle turbo;Haute (comme garde);Limite le domaine de fonctionnement du modèle analytique simplifié.;Choix numérique/calibration projet;168
Turbocharger.js;COMPRESSOR_REFERENCE_PRESSURE;101325;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : Choke analytique fondé sur le débit massique corrigé à l'entrée. La limite représente la capacité aérodynamique équivalente de l'inducteur/diffuseur : elle ne dépend ni du régime moteur ni d'une courbe de couple recherchée.;Calibration projet;173
Turbocharger.js;COMPRESSOR_REFERENCE_TEMPERATURE;293;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;174
Turbocharger.js;COMPRESSOR_CHOKE_START_CORRECTED_FLOW;0.155;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;175
Turbocharger.js;COMPRESSOR_CHOKE_FULL_CORRECTED_FLOW;0.172;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;176
Turbocharger.js;COMPRESSOR_MAX_CORRECTED_FLOW;0.185;Garde numérique / domaine;Borne du modèle turbo;Haute (comme garde);Limite le domaine de fonctionnement du modèle analytique simplifié.;Choix numérique/calibration projet;177
Turbocharger.js;COMPRESSOR_CHOKE_MAX_PRESSURE_RISE_LOSS;0.72;Garde numérique / domaine;Borne du modèle turbo;Haute (comme garde);Limite le domaine de fonctionnement du modèle analytique simplifié.;Choix numérique/calibration projet;178
Turbocharger.js;COMPRESSOR_CHOKE_MAX_EFFICIENCY_LOSS;0.10;Garde numérique / domaine;Borne du modèle turbo;Haute (comme garde);Limite le domaine de fonctionnement du modèle analytique simplifié.;Choix numérique/calibration projet;179
Turbocharger.js;COMPRESSOR_CHOKE_RESPONSE_TIME_CONSTANT;0.040;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;180
Turbocharger.js;COMPRESSOR_TIP_MACH_LOSS_START;1.12;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : À vitesse périphérique transsonique, incidence, ondes de choc et fuites de bout réduisent le travail d'Euler réellement utilisable. La correction est fondée sur le Mach de bout de pale, jamais sur le régime moteur.;Calibration projet;185
Turbocharger.js;COMPRESSOR_TIP_MACH_LOSS_FULL;1.38;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;186
Turbocharger.js;COMPRESSOR_TIP_MACH_MAX_HEAD_LOSS;0.22;Garde numérique / domaine;Borne du modèle turbo;Haute (comme garde);Limite le domaine de fonctionnement du modèle analytique simplifié.;Choix numérique/calibration projet;187
Turbocharger.js;CHARGE_AIR_VOLUME;0.0055;Estimation / calibration turbo;Géométrie équivalente sans carte constructeur;Faible à moyenne;Paramètre équivalent choisi pour reproduire qualitativement débit, spool et bilan d’arbre. Commentaire code : Volume total entre sortie compresseur et papillon : durites, échangeur et réservoirs latéraux. Il crée la dynamique de montée et de chute du boost.;Estimation/calibration projet;195
Turbocharger.js;INTERCOOLER_BASE_CONDUCTANCE;18;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;"Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : Échange thermique de l'intercooler vers l'air ambiant. Le premier terme agit même véhicule immobile ; le second augmente avec le débit d'air comprimé et la vitesse équivalente du véhicule sur le banc.";Calibration projet;200
Turbocharger.js;INTERCOOLER_FLOW_CONDUCTANCE;520;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;201
Turbocharger.js;INTERCOOLER_SPEED_CONDUCTANCE;0.75;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;202
Turbocharger.js;INTERCOOLER_MAX_CONDUCTANCE;250;Garde numérique / domaine;Borne du modèle turbo;Haute (comme garde);Limite le domaine de fonctionnement du modèle analytique simplifié.;Choix numérique/calibration projet;203
Turbocharger.js;INTERCOOLER_PRESSURE_RECOVERY;0.985;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;204
Turbocharger.js;BYPASS_OPEN_THROTTLE;0.075;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur. Commentaire code : Au lever de pied sous boost, une soupape de recirculation évite de maintenir une forte pression devant le papillon et limite le pompage du compresseur.;Calibration projet;212
Turbocharger.js;BYPASS_CLOSE_THROTTLE;0.12;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;213
Turbocharger.js;BYPASS_OPEN_PRESSURE_DIFFERENCE;26000;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;214
Turbocharger.js;BYPASS_MAX_AREA;2.4e-4;Estimation / calibration turbo;Section équivalente maximale du bypass;Faible à moyenne;"Aire effective de soupape de décharge du circuit de charge ; non mesurée sur le véhicule réel.";Estimation/calibration projet;215
Turbocharger.js;BYPASS_DISCHARGE_COEFFICIENT;0.76;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;216
Turbocharger.js;BYPASS_ACTUATOR_TIME_CONSTANT;0.035;Calibration turbo;Loi analytique/calibration sans carte CT20B;Faible à moyenne;Paramètre du modèle turbo simplifié, à ne pas présenter comme donnée constructeur.;Calibration projet;217
Turbocharger.js;MIN_PRESSURE;1000;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;223
Turbocharger.js;MIN_TEMPERATURE;180;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;224
Turbocharger.js;MAX_CHARGE_TEMPERATURE;520;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;225
Turbocharger.js;MIN_GAS_MASS;1e-9;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;226
Turbocharger.js;MAX_SOURCE_MASS_FRACTION_PER_STEP;0.22;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;227
IntakeValves.ts;INTAKE_VALVE_OPEN_DEG;0;Calibration distribution;Calage simplifié de travail : ouverture au PMH;Moyenne;Choix de modèle sans croisement, explicitement non présenté comme profil de came Toyota mesuré. Commentaire code : Pour cette première version, l'ouverture commence au PMH. On évite volontairement le croisement avec l'échappement tant que la soupape d'échappement et le collecteur d'échappement ne sont pas encore dynamiques.;Calibration projet;30
IntakeValves.ts;INTAKE_VALVE_CLOSE_DEG;245;Calibration distribution;Calage simplifié : fermeture 65° après PMB;Moyenne;"Choix de travail pour représenter inertie de colonne gazeuse/reflux ; loi de came constructeur détaillée non sourcée. Commentaire code : La fermeture est retardée après le PMB afin de conserver l'effet d'inertie des gaz à haut régime et de permettre un reflux naturel à faible régime.";Calibration projet;34
IntakeValves.ts;INTAKE_VALVE_COUNT;2;Architecture;Architecture 16 soupapes / twin-entry;Haute à moyenne;Architecture du système, pas un ajustement de performance. Commentaire code : Ces valeurs sont des constantes initiales de calibration du modèle. Elles sont volontairement regroupées ici pour pouvoir être remplacées par des mesures ou des données de culasse certifiées sans modifier les équations.;Architecture ST205 / projet;44
IntakeValves.ts;INTAKE_VALVE_DIAMETER;0.033;Estimation géométrique;Estimation géométrique très plausible;Moyenne;"Diamètre équivalent d’admission cohérent avec une culasse 4 soupapes/cylindre de 86 mm d’alésage ; non revendiqué constructeur.";Estimation projet;45
IntakeValves.ts;INTAKE_PORT_DIAMETER;0.029;Estimation géométrique;Estimation géométrique projet;Moyenne;Diamètre effectif de port utilisé pour borner la section de débit.;Estimation projet;46
IntakeValves.ts;INTAKE_VALVE_MAX_LIFT;0.0085;Estimation géométrique;Profil de distribution estimé;Moyenne;Levée maximale de travail, faute de loi de came constructeur détaillée.;Estimation projet;47
IntakeValves.ts;INTAKE_VALVE_MAX_LIFT_DEG;110;Estimation géométrique;Géométrie équivalente 0D;Moyenne;Géométrie effective de travail, non revendiquée comme mesure constructeur. Commentaire code : Le sommet de came reste fixé : retarder la fermeture allonge uniquement la rampe descendante. Cela évite de déplacer artificiellement toute la levée.;Estimation projet;51
IntakeValves.ts;INTAKE_VALVE_LOW_REYNOLDS_DISCHARGE_COEFFICIENT;0.68;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée. Commentaire code : Coefficient regroupant contraction du jet, pertes au siège et turbulence. Il est appliqué dans l'équation de débit compressible, pas dans l'aire.;Calibration projet;55
IntakeValves.ts;INTAKE_VALVE_HIGH_REYNOLDS_DISCHARGE_COEFFICIENT;0.71;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée.;Calibration projet;56
IntakeValves.ts;INTAKE_REYNOLDS_TRANSITION_START_MEAN_PISTON_SPEED;12.0;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée.;Calibration projet;57
IntakeValves.ts;INTAKE_REYNOLDS_TRANSITION_FULL_MEAN_PISTON_SPEED;17.0;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée.;Calibration projet;58
IntakeValves.ts;INTAKE_LOW_LIFT_DISCHARGE_FACTOR;0.66;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée. Commentaire code : À faible levée, le jet est fortement contracté par le siège et le coefficient de décharge est inférieur à sa valeur de pleine levée. La loi dépend de L/D, donc de la géométrie réelle instantanée, et non directement du régime moteur.;Calibration projet;63
IntakeValves.ts;INTAKE_LIFT_RATIO_DEVELOPMENT_START;0.015;Estimation géométrique;Géométrie équivalente 0D;Moyenne;Géométrie effective de travail, non revendiquée comme mesure constructeur.;Estimation projet;64
IntakeValves.ts;INTAKE_LIFT_RATIO_FULLY_DEVELOPED;0.18;Estimation géométrique;Géométrie équivalente 0D;Moyenne;Géométrie effective de travail, non revendiquée comme mesure constructeur.;Estimation projet;65
ExhaustValves.ts;EXHAUST_VALVE_OPEN_DEG;500;Calibration distribution;Calage simplifié : ouverture 40° avant PMB détente;Moyenne;"Choix de travail pour représenter le blowdown ; non revendiqué comme calage Toyota mesuré. Commentaire code : Ouverture 40° avant le PMB de détente. L'ouverture anticipée sacrifie une petite partie du travail de détente, mais permet le blowdown : la pression élevée du cylindre se décharge rapidement vers le collecteur avant que le piston commence sa remontée d'écha…";Calibration projet;29
ExhaustValves.ts;EXHAUST_VALVE_CLOSE_DEG;720;Calibration distribution;Fermeture au PMH échappement;Moyenne;"Choix volontaire sans croisement pour le solveur 0D actuel ; non revendiqué constructeur. Commentaire code : Fermeture au PMH d'échappement. Aucun croisement n'est encore introduit volontairement : l'admission ouvre à 0° et l'échappement ferme à 720°. Cela évite d'appliquer deux fois le travail P dV tant que le solveur de croisement commun n'est pas développé.";Calibration projet;35
ExhaustValves.ts;EXHAUST_VALVE_OPEN_RAD;EXHAUST_VALVE_OPEN_DEG * Math.PI / 180;Dérivée;Conversion de EXHAUST_VALVE_OPEN_DEG en radians;Haute;Valeur strictement dérivée du calage en degrés.;Dérivation code;37
ExhaustValves.ts;EXHAUST_VALVE_CLOSE_RAD;EXHAUST_VALVE_CLOSE_DEG * Math.PI / 180;Dérivée;Conversion de EXHAUST_VALVE_CLOSE_DEG en radians;Haute;Valeur strictement dérivée du calage en degrés.;Dérivation code;38
ExhaustValves.ts;EXHAUST_VALVE_DURATION_RAD;EXHAUST_VALVE_CLOSE_RAD - EXHAUST_VALVE_OPEN_RAD;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;39
ExhaustValves.ts;EXHAUST_VALVE_COUNT;2;Architecture;Architecture 16 soupapes / twin-entry;Haute à moyenne;Architecture du système, pas un ajustement de performance. Commentaire code : Le 3S-GTE est une culasse 16 soupapes : deux soupapes d'échappement par cylindre. Les dimensions ci-dessous sont des valeurs de calibration initiale, regroupées ici afin d'être remplacées facilement par des cotes mesurées.;Architecture ST205 / projet;49
ExhaustValves.ts;EXHAUST_VALVE_DIAMETER;0.029;Estimation géométrique;Estimation géométrique très plausible;Moyenne;"Diamètre équivalent d’échappement plausible pour la géométrie de culasse ; non revendiqué constructeur.";Estimation projet;50
ExhaustValves.ts;EXHAUST_PORT_DIAMETER;0.0255;Estimation géométrique;Estimation géométrique projet;Moyenne;Diamètre effectif de port utilisé pour borner la section de débit.;Estimation projet;51
ExhaustValves.ts;EXHAUST_VALVE_MAX_LIFT;0.0080;Estimation géométrique;Profil de distribution estimé;Moyenne;Levée maximale de travail, faute de loi de came constructeur détaillée.;Estimation projet;52
ExhaustValves.ts;EXHAUST_VALVE_LOW_REYNOLDS_DISCHARGE_COEFFICIENT;0.70;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée. Commentaire code : Le coefficient de décharge représente la contraction du jet, le siège, la courbure du port et les pertes non résolues par le modèle d'orifice parfait.;Calibration projet;56
ExhaustValves.ts;EXHAUST_VALVE_HIGH_REYNOLDS_DISCHARGE_COEFFICIENT;0.76;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée.;Calibration projet;57
ExhaustValves.ts;EXHAUST_REYNOLDS_TRANSITION_START_MEAN_PISTON_SPEED;11.5;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée.;Calibration projet;58
ExhaustValves.ts;EXHAUST_REYNOLDS_TRANSITION_FULL_MEAN_PISTON_SPEED;16.5;Calibration;Coefficient de débit / réponse calibré;Moyenne;Paramètre effectif ajusté pour représenter les pertes et régimes d’écoulement sans géométrie 1D détaillée.;Calibration projet;59
CompressibleFlow.ts;R_AIR;287.05;Constante physique générique;Air sec idéal;Haute;Constante spécifique de l’air utilisée dans le gaz parfait.;Valeur standard;14
CompressibleFlow.ts;GAMMA_AIR;1.40;Constante physique générique;Air parfait à gamma constant;Moyenne à haute;Approximation constante du rapport Cp/Cv.;Hypothèse thermodynamique générique;15
CompressibleFlow.ts;CV_AIR;R_AIR / (GAMMA_AIR - 1);Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle. Commentaire code : Pour un gaz parfait : R = Cp - Cv et gamma = Cp / Cv.;Dérivation code;18
CompressibleFlow.ts;CP_AIR;GAMMA_AIR * CV_AIR;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;19
CompressibleFlow.ts;GAMMA_CYLINDER_GAS;1.35;Hypothèse thermodynamique;Gaz brûlés à gamma constant;Moyenne;Approximation 0D simplifiée des propriétés des gaz cylindre. Commentaire code : Ces valeurs restent constantes pour conserver un modèle temps réel simple. Elles pourront plus tard être remplacées par Cv(T) et Cp(T) sans modifier la structure du bilan d'énergie.;Hypothèse projet;29
CompressibleFlow.ts;CV_CYLINDER_GAS;R_AIR / (GAMMA_CYLINDER_GAS - 1);Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;30
CompressibleFlow.ts;CP_CYLINDER_GAS;CV_CYLINDER_GAS + R_AIR;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;31
CompressibleFlow.ts;MIN_TEMPERATURE;1;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle. Commentaire code : Garde numérique commune à tous les calculs de débit.";Choix numérique projet;34
CompressibleFlow.ts;MIN_PRESSURE;1;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;35
Thermodynamics.js;LHV_FUEL;44000000;Constante physique générique;Essence générique : 44 MJ/kg;Moyenne à haute;PCI de travail, pas une propriété Toyota spécifique. Commentaire code : Pouvoir calorifique inférieur de travail de l'essence. Il représente l'énergie chimique libérable par kilogramme de carburant.;Valeur générique de modélisation;37
Thermodynamics.js;COMBUSTION_HEAT_RELEASE_EFFICIENCY;0.96;Calibration;Calibration énergétique combustion;Moyenne;"Fraction du PCI transformée en chaleur utile avant pertes aux parois ; ne représente pas un rendement mécanique. Commentaire code : Cette constante n'est PAS un rendement mécanique : les pertes aux parois et le travail du piston sont calculés séparément dans le bilan d'énergie.";Calibration projet;45
Thermodynamics.js;STOICHIOMETRIC_AFR;14.7;Constante physique générique;Essence générique : AFR 14,7;Moyenne à haute;Stœchiométrie simplifiée de l’essence.;Valeur générique de modélisation;46
Thermodynamics.js;RICH_MIXTURE_MAX_ADDITIONAL_HEAT_LOSS;0.03;Garde numérique;Borne thermodynamique;Haute (comme garde);Empêche pression/température non finies ou hors domaine. Commentaire code : Un mélange enrichi injecte davantage de carburant, mais l'oxygène disponible limite la masse pouvant réellement libérer son PCI. Sans cette garde, passer de 14.7 à 11.8 augmenterait artificiellement la puissance de 25 %, alors que le carburant excédentaire …;Choix numérique projet;52
Thermodynamics.js;LOW_SPEED_COMBUSTION_DURATION_DEG;50;Calibration;Loi de Wiebe calibrée;Moyenne;Durée de combustion basse vitesse choisie pour le modèle qualitatif. Commentaire code : Durée actuelle de la loi de Wiebe. L'avance n'est plus figée ici : EngineControl.js commande state.ignitionTimingDeg afin d'utiliser une avance réduite au démarreur et une avance nominale une fois le moteur autonome. La durée en degrés diminue légèrement lo…;Calibration projet;60
Thermodynamics.js;HIGH_SPEED_COMBUSTION_DURATION_DEG;44;Calibration;Loi de Wiebe calibrée;Moyenne;Durée haute vitesse raccourcie pour représenter l’effet de turbulence.;Calibration projet;61
Thermodynamics.js;COMBUSTION_DURATION_SHORTENING_START_RPM;3000;Calibration / hypothèse thermodynamique;Paramètre de combustion 0D;Moyenne;Paramètre de loi de Wiebe, richesse ou efficacité simplifiée.;Calibration/hypothèse projet;62
Thermodynamics.js;COMBUSTION_DURATION_SHORTENING_FULL_RPM;6000;Calibration / hypothèse thermodynamique;Paramètre de combustion 0D;Moyenne;Paramètre de loi de Wiebe, richesse ou efficacité simplifiée.;Calibration/hypothèse projet;63
Thermodynamics.js;WIEBE_CA50_NORMALIZED_POSITION;Math.pow( Math.log(2) / 5.0, 1 / 3 );Calibration / hypothèse thermodynamique;Paramètre de combustion 0D;Moyenne;Paramètre de loi de Wiebe, richesse ou efficacité simplifiée. Commentaire code : Pour la loi de Wiebe utilisée ici (a=5, m=2), cette position normalisée correspond exactement à 50 % de masse brûlée.;Calibration/hypothèse projet;67
Thermodynamics.js;MIN_PRESSURE;1000;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;114
Thermodynamics.js;MIN_TEMPERATURE;150;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;115
Thermodynamics.js;MAX_TEMPERATURE;4500;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;116
Thermodynamics.js;MIN_GAS_MASS;1e-9;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;117
Thermodynamics.js;MAX_WALL_ENERGY_FRACTION_PER_STEP;0.08;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle. Commentaire code : À dt = 0.1 ms, le transfert thermique normal est très inférieur à cette limite. Cette garde protège seulement le solveur lors d'une mauvaise initialisation ou d'une calibration extrême du coefficient thermique.";Choix numérique projet;122
CylinderHeatTransfer.js;CYLINDER_HEAD_WALL_TEMPERATURE;430;Calibration thermique;Loi inspirée Woschni simplifiée;Faible à moyenne;"Coefficient/température de paroi effectifs faute de mesures thermiques du moteur réel. Commentaire code : Elles représentent un moteur déjà chaud : - la culasse est refroidie par le liquide ; - le piston est généralement plus chaud que la culasse ; - la chemise reste proche du circuit de refroidissement.";Calibration projet;32
CylinderHeatTransfer.js;PISTON_CROWN_WALL_TEMPERATURE;500;Calibration thermique;Loi inspirée Woschni simplifiée;Faible à moyenne;Coefficient/température de paroi effectifs faute de mesures thermiques du moteur réel.;Calibration projet;33
CylinderHeatTransfer.js;CYLINDER_LINER_WALL_TEMPERATURE;390;Calibration thermique;Loi inspirée Woschni simplifiée;Faible à moyenne;Coefficient/température de paroi effectifs faute de mesures thermiques du moteur réel.;Calibration projet;34
CylinderHeatTransfer.js;CYLINDER_HEAD_AREA_FACTOR;1.08;Calibration thermique;Loi inspirée Woschni simplifiée;Faible à moyenne;Coefficient/température de paroi effectifs faute de mesures thermiques du moteur réel. Commentaire code : Les surfaces réelles ne sont pas parfaitement planes : chambre pent-roof, cuvette du piston, sièges de soupapes, bougie, etc. Ces facteurs corrigent légèrement la surface projetée sans introduire une géométrie 3D complète.;Calibration projet;39
CylinderHeatTransfer.js;PISTON_CROWN_AREA_FACTOR;1.03;Calibration thermique;Loi inspirée Woschni simplifiée;Faible à moyenne;Coefficient/température de paroi effectifs faute de mesures thermiques du moteur réel.;Calibration projet;40
CylinderHeatTransfer.js;BASE_HEAT_TRANSFER_COEFFICIENT;130;Calibration thermique;Loi inspirée Woschni simplifiée;Faible à moyenne;"Coefficient/température de paroi effectifs faute de mesures thermiques du moteur réel. Commentaire code : Les rapports sont normalisés afin de conserver des unités explicites et une constante C directement lisible en W/(m².K). Ce n'est pas une reproduction exacte d'une version industrielle de Woschni ; c'est une corrélation 0D stable et calibrable destinée au t…";Calibration projet;54
CylinderHeatTransfer.js;REFERENCE_BORE;0.086;Référence géométrique;Alésage de référence 86 mm;Haute;Normalisation de la corrélation thermique sur l’alésage constructeur du ST205.;Toyota ST205 + dérivation modèle;55
CylinderHeatTransfer.js;REFERENCE_PRESSURE;100000;Référence de corrélation;Pression de normalisation 1 bar;Haute comme référence;"Échelle de normalisation de la loi de transfert thermique ; pas une pression moteur cible.";Choix de normalisation projet;56
CylinderHeatTransfer.js;REFERENCE_TEMPERATURE;300;Référence de corrélation;Température de normalisation 300 K;Haute comme référence;"Échelle de normalisation de la corrélation ; pas une température moteur cible.";Choix de normalisation projet;57
CylinderHeatTransfer.js;REFERENCE_GAS_VELOCITY;10;Référence de corrélation;Vitesse gazeuse de normalisation 10 m/s;Moyenne;Échelle de référence de la corrélation inspirée Woschni simplifiée.;Choix de normalisation/calibration projet;58
CylinderHeatTransfer.js;MINIMUM_GAS_VELOCITY;0.50;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle. Commentaire code : Le terme minimal évite que les échanges deviennent artificiellement nuls à très bas régime. Le terme de combustion augmente temporairement la turbulence pendant la propagation de la flamme.";Choix numérique projet;67
CylinderHeatTransfer.js;PISTON_SPEED_VELOCITY_FACTOR;0.65;Calibration thermique;Loi inspirée Woschni simplifiée;Faible à moyenne;Coefficient/température de paroi effectifs faute de mesures thermiques du moteur réel.;Calibration projet;68
CylinderHeatTransfer.js;COMBUSTION_TURBULENCE_FACTOR;1.25;Calibration thermique;Loi inspirée Woschni simplifiée;Faible à moyenne;Coefficient/température de paroi effectifs faute de mesures thermiques du moteur réel.;Calibration projet;69
CylinderHeatTransfer.js;MIN_HEAT_TRANSFER_COEFFICIENT;10;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle. Commentaire code : Bornes numériques et physiques de calibration. Elles évitent une divergence en cas de pression ou de température anormale pendant une phase de réglage.";Choix numérique projet;73
CylinderHeatTransfer.js;MAX_HEAT_TRANSFER_COEFFICIENT;5000;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;74
CylinderHeatTransfer.js;MIN_PRESSURE;1000;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;75
CylinderHeatTransfer.js;MIN_TEMPERATURE;150;Garde numérique;Borne de sûreté numérique;Haute (comme garde);"Évite états non physiques ou instabilités numériques ; ne doit pas être interprétée comme mesure réelle.";Choix numérique projet;76
MechanicalLosses.js;CYLINDER_COUNT;CYLINDER_OFFSETS.length;Dérivée;Calculée depuis géométrie/architecture;Haute;Valeur dérivée.;Dérivation code;23
MechanicalLosses.js;TOTAL_DISPLACEMENT;SWEPT_VOLUME * CYLINDER_COUNT;Dérivée;Calculée à partir d’autres paramètres;Haute si les entrées sont correctes;Cette constante est une conséquence algébrique d’autres valeurs du modèle.;Dérivation code;24
